dataset,sample_id,group,total_count
GSE95401,EAE_Control1,Control,999999.999999964
GSE95401,EAE_Control2,Control,999999.9999999824
GSE95401,EAE_Control3,Control,999999.9999999697
GSE95401,EAE_Acute1,Acute,999999.9999999821
GSE95401,EAE_Acute2,Acute,1000000.0000000059
GSE95401,EAE_Acute3,Acute,999999.9999999942
GSE95401,EAE_Subacute1,Subacute,1000000.000000023
GSE95401,EAE_Subacute2,Subacute,999999.9999999946
GSE95401,EAE_Subacute3,Subacute,999999.9999999796
GSE95401,EAE_Chronic1,Chronic,999999.9999999717
GSE95401,EAE_Chronic2,Chronic,999999.9999999618
GSE95401,EAE_Chronic3,Chronic,1000000.0000000222
